race,compound,life,average_lap,median_lap,observations
Australian Grand Prix,HARD,1,109.10754999999999,116.042,20
Australian Grand Prix,HARD,2,91.88719999999999,86.7535,20
Australian Grand Prix,HARD,3,84.99665,84.981,20
Australian Grand Prix,HARD,4,85.15235,84.62549999999999,20
Australian Grand Prix,HARD,5,85.22380000000001,84.9245,20
Australian Grand Prix,HARD,6,87.60815,85.45949999999999,20
Australian Grand Prix,HARD,7,94.82105,87.275,20
Australian Grand Prix,HARD,8,92.76265,86.59100000000001,20
Australian Grand Prix,HARD,9,87.0248,85.0695,20
Australian Grand Prix,HARD,10,85.30024999999999,84.6925,20
Australian Grand Prix,HARD,11,86.63685000000001,84.8685,20
Australian Grand Prix,HARD,12,93.27709999999999,84.50399999999999,20
Australian Grand Prix,HARD,13,87.72575,84.864,20
Australian Grand Prix,HARD,14,85.51235,84.6055,20
Australian Grand Prix,HARD,15,88.3647,84.99,20
Australian Grand Prix,HARD,16,85.62923529411763,84.801,17
Australian Grand Prix,HARD,17,84.77564705882352,84.737,17
Australian Grand Prix,HARD,18,88.1815625,84.9325,16
Australian Grand Prix,HARD,19,85.82493333333333,84.523,15
Australian Grand Prix,HARD,20,84.96526666666666,85.271,15
Australian Grand Prix,HARD,21,86.4986,84.932,15
Australian Grand Prix,HARD,22,92.94757142857144,88.72,14
Australian Grand Prix,HARD,23,87.95224999999999,85.0925,12
Australian Grand Prix,HARD,24,84.57563636363636,84.821,11
Australian Grand Prix,HARD,25,86.205,84.7055,10
Australian Grand Prix,HARD,26,84.19144444444444,84.612,9
Australian Grand Prix,HARD,27,84.28866666666666,84.13,9
Australian Grand Prix,HARD,28,84.18766666666666,84.55,9
Australian Grand Prix,HARD,29,84.37144444444444,84.76,9
Australian Grand Prix,HARD,30,84.086,84.404,9
Australian Grand Prix,HARD,31,84.4145,84.5275,8
Australian Grand Prix,HARD,32,84.250625,84.59100000000001,8
Australian Grand Prix,HARD,33,86.33625,84.3035,8
Australian Grand Prix,HARD,34,84.96185714285714,85.21,7
Australian Grand Prix,HARD,35,84.86699999999999,85.353,7
Australian Grand Prix,HARD,36,85.58114285714285,86.334,7
Australian Grand Prix,HARD,37,84.60728571428571,84.614,7
Australian Grand Prix,HARD,38,84.93214285714285,85.115,7
Australian Grand Prix,HARD,39,85.06157142857144,84.927,7
Australian Grand Prix,HARD,40,85.0172,86.297,5
Australian Grand Prix,HARD,41,84.6524,84.584,5
Australian Grand Prix,HARD,42,84.1258,84.622,5
Australian Grand Prix,HARD,43,84.0814,84.52,5
Australian Grand Prix,HARD,44,83.95439999999999,84.577,5
Australian Grand Prix,HARD,45,83.9126,84.486,5
Australian Grand Prix,HARD,46,87.66499999999999,84.573,5
Australian Grand Prix,MEDIUM,1,98.09611111111111,97.233,18
Australian Grand Prix,MEDIUM,2,86.57344444444445,87.1735,18
Australian Grand Prix,MEDIUM,3,86.0355,86.3475,18
Australian Grand Prix,MEDIUM,4,85.727,85.8755,18
Australian Grand Prix,MEDIUM,5,85.86611111111111,86.119,18
Australian Grand Prix,MEDIUM,6,85.76738888888889,85.724,18
Australian Grand Prix,MEDIUM,7,85.25433333333334,85.1405,18
Australian Grand Prix,MEDIUM,8,85.32922222222221,85.30600000000001,18
Australian Grand Prix,MEDIUM,9,85.46794444444444,85.4965,18
Australian Grand Prix,MEDIUM,10,85.28144444444445,85.462,18
Australian Grand Prix,MEDIUM,11,94.78694117647058,91.862,17
Australian Grand Prix,MEDIUM,12,112.56625000000001,114.9985,12
Australian Grand Prix,MEDIUM,13,106.361,114.114,8
Australian Grand Prix,MEDIUM,14,86.523375,86.521,8
Australian Grand Prix,MEDIUM,15,84.574625,84.24600000000001,8
Australian Grand Prix,MEDIUM,16,86.8275,84.7715,8
Australian Grand Prix,MEDIUM,17,84.89175,84.6815,8
Australian Grand Prix,MEDIUM,18,100.027625,99.6005,8
Australian Grand Prix,MEDIUM,19,98.1965,98.38749999999999,4
Australian Grand Prix,MEDIUM,20,87.882,87.7745,4
Australian Grand Prix,MEDIUM,21,83.38025,83.46950000000001,4
Australian Grand Prix,MEDIUM,22,83.59075,83.4625,4
Australian Grand Prix,MEDIUM,23,87.285,83.446,4
Australian Grand Prix,MEDIUM,24,83.67833333333333,83.66,3
Australian Grand Prix,MEDIUM,25,90.747,90.747,2
Australian Grand Prix,MEDIUM,26,84.085,84.085,1
Australian Grand Prix,MEDIUM,27,83.76,83.76,1
Australian Grand Prix,MEDIUM,28,99.578,99.578,1
Australian Grand Prix,SOFT,1,96.70127272727272,93.422,11
Australian Grand Prix,SOFT,2,176.01290909090906,86.074,11
Australian Grand Prix,SOFT,3,87.31645454545455,86.32,11
Australian Grand Prix,SOFT,4,85.86936363636363,85.919,11
Australian Grand Prix,SOFT,5,88.0898,86.24449999999999,10
Australian Grand Prix,SOFT,6,87.63244444444445,86.21,9
Australian Grand Prix,SOFT,7,85.95044444444444,86.085,9
Australian Grand Prix,SOFT,8,206.16155555555557,86.2,9
Australian Grand Prix,SOFT,9,85.375375,85.342,8
Australian Grand Prix,SOFT,10,85.563375,85.543,8
Australian Grand Prix,SOFT,11,95.09933333333333,87.4,6
Australian Grand Prix,SOFT,12,85.98966666666666,84.702,3
Australian Grand Prix,SOFT,13,84.4,84.4,2
Australian Grand Prix,SOFT,14,84.299,84.299,2
Australian Grand Prix,SOFT,15,84.4975,84.4975,2
Australian Grand Prix,SOFT,16,84.35849999999999,84.35849999999999,2
Australian Grand Prix,SOFT,17,84.384,84.384,2
Australian Grand Prix,SOFT,18,84.6045,84.6045,2
Australian Grand Prix,SOFT,19,84.7145,84.7145,2
Australian Grand Prix,SOFT,20,85.0905,85.0905,2
Australian Grand Prix,SOFT,21,84.69300000000001,84.69300000000001,2
Australian Grand Prix,SOFT,22,85.059,85.059,2
Australian Grand Prix,SOFT,23,86.64099999999999,86.64099999999999,2
Australian Grand Prix,SOFT,24,86.29249999999999,86.29249999999999,2
Chinese Grand Prix,HARD,1,137.20115789473684,143.152,19
Chinese Grand Prix,HARD,2,124.88194736842105,135.068,19
Chinese Grand Prix,HARD,3,123.55168421052632,129.669,19
Chinese Grand Prix,HARD,4,106.45705263157895,99.851,19
Chinese Grand Prix,HARD,5,99.28568421052631,99.264,19
Chinese Grand Prix,HARD,6,99.00063157894736,98.775,19
Chinese Grand Prix,HARD,7,98.80031578947369,98.953,19
Chinese Grand Prix,HARD,8,98.69136842105263,98.909,19
Chinese Grand Prix,HARD,9,100.378,99.018,19
Chinese Grand Prix,HARD,10,103.06064705882352,99.269,17
Chinese Grand Prix,HARD,11,111.30888235294117,99.208,17
Chinese Grand Prix,HARD,12,112.95464705882353,99.144,17
Chinese Grand Prix,HARD,13,112.68411764705883,98.8,17
Chinese Grand Prix,HARD,14,99.16229411764706,98.88,17
Chinese Grand Prix,HARD,15,98.68035294117647,98.617,17
Chinese Grand Prix,HARD,16,98.56611764705883,98.599,17
Chinese Grand Prix,HARD,17,98.58070588235294,98.383,17
Chinese Grand Prix,HARD,18,98.5330588235294,98.359,17
Chinese Grand Prix,HARD,19,98.314,98.382,17
Chinese Grand Prix,HARD,20,98.25682352941176,98.308,17
Chinese Grand Prix,HARD,21,98.17611764705882,97.894,17
Chinese Grand Prix,HARD,22,98.07823529411765,98.089,17
Chinese Grand Prix,HARD,23,98.1044705882353,97.959,17
Chinese Grand Prix,HARD,24,97.97929411764706,98.039,17
Chinese Grand Prix,HARD,25,98.16105882352942,98.331,17
Chinese Grand Prix,HARD,26,97.99605882352941,97.825,17
Chinese Grand Prix,HARD,27,98.5420588235294,97.959,17
Chinese Grand Prix,HARD,28,97.94905882352941,97.972,17
Chinese Grand Prix,HARD,29,98.26764705882353,98.092,17
Chinese Grand Prix,HARD,30,98.0259375,97.89699999999999,16
Chinese Grand Prix,HARD,31,98.100875,97.78200000000001,16
Chinese Grand Prix,HARD,32,98.07386666666666,97.616,15
Chinese Grand Prix,HARD,33,97.83157142857144,97.4695,14
Chinese Grand Prix,HARD,34,98.06535714285714,97.38749999999999,14
Chinese Grand Prix,HARD,35,98.13414285714285,97.293,14
Chinese Grand Prix,HARD,36,101.82592307692309,97.311,13
Chinese Grand Prix,HARD,37,97.39983333333333,97.4765,12
Chinese Grand Prix,HARD,38,97.38566666666667,97.268,12
Chinese Grand Prix,HARD,39,97.29700000000001,97.54249999999999,12
Chinese Grand Prix,HARD,40,97.29491666666667,97.2485,12
Chinese Grand Prix,HARD,41,97.61666666666667,97.013,12
Chinese Grand Prix,HARD,42,97.67166666666667,97.0855,12
Chinese Grand Prix,HARD,43,97.36718181818182,97.324,11
Chinese Grand Prix,HARD,44,97.49445454545456,96.788,11
Chinese Grand Prix,HARD,45,96.9232,96.643,10
Chinese Grand Prix,HARD,46,96.70877777777778,96.569,9
Chinese Grand Prix,HARD,47,97.096,97.096,1
Chinese Grand Prix,MEDIUM,1,111.31913333333334,107.851,15
Chinese Grand Prix,MEDIUM,2,98.91978571428571,98.73750000000001,14
Chinese Grand Prix,MEDIUM,3,98.61921428571429,98.755,14
Chinese Grand Prix,MEDIUM,4,99.07485714285714,98.4755,14
Chinese Grand Prix,MEDIUM,5,98.5077857142857,98.1685,14
Chinese Grand Prix,MEDIUM,6,98.26721428571429,98.0865,14
Chinese Grand Prix,MEDIUM,7,98.71521428571428,98.655,14
Chinese Grand Prix,MEDIUM,8,98.43857142857144,97.87950000000001,14
Chinese Grand Prix,MEDIUM,9,99.47657142857143,98.25049999999999,14
Chinese Grand Prix,MEDIUM,10,109.02983333333333,111.17150000000001,12
Chinese Grand Prix,MEDIUM,11,105.6634,97.381,5
Chinese Grand Prix,MEDIUM,12,97.804,97.689,4
Chinese Grand Prix,MEDIUM,13,97.43,97.465,4
Chinese Grand Prix,MEDIUM,14,98.32033333333334,98.064,3
Chinese Grand Prix,MEDIUM,15,97.682,97.696,3
Chinese Grand Prix,MEDIUM,16,98.08300000000001,97.598,3
Chinese Grand Prix,MEDIUM,17,100.072,99.052,3
Chinese Grand Prix,MEDIUM,18,97.781,97.781,2
Chinese Grand Prix,MEDIUM,19,97.695,97.695,2
Chinese Grand Prix,MEDIUM,20,97.79650000000001,97.79650000000001,2
Chinese Grand Prix,MEDIUM,21,99.609,99.609,1
Chinese Grand Prix,MEDIUM,22,98.685,98.685,1
Chinese Grand Prix,MEDIUM,23,98.237,98.237,1
Chinese Grand Prix,SOFT,1,140.887,140.887,1
Chinese Grand Prix,SOFT,2,96.461,96.461,1
Chinese Grand Prix,SOFT,3,96.746,96.746,1
Chinese Grand Prix,SOFT,4,109.32666666666667,107.91,3
Chinese Grand Prix,SOFT,5,98.38550000000001,98.38550000000001,2
Chinese Grand Prix,SOFT,6,98.3755,98.3755,2
Chinese Grand Prix,SOFT,7,97.881,97.881,2
Chinese Grand Prix,SOFT,8,97.773,97.773,2
Chinese Grand Prix,SOFT,9,97.74350000000001,97.74350000000001,2
Chinese Grand Prix,SOFT,10,99.574,99.574,1
Chinese Grand Prix,SOFT,11,99.465,99.465,1
Chinese Grand Prix,SOFT,12,105.525,105.525,1
Japanese Grand Prix,HARD,1,134.16386363636363,144.5655,22
Japanese Grand Prix,HARD,2,116.78009090909092,110.464,22
Japanese Grand Prix,HARD,3,125.95619047619047,125.71,21
Japanese Grand Prix,HARD,4,129.85605,140.7115,20
Japanese Grand Prix,HARD,5,128.98968421052632,133.468,19
Japanese Grand Prix,HARD,6,115.67757894736843,98.627,19
Japanese Grand Prix,HARD,7,113.30815789473684,96.612,19
Japanese Grand Prix,HARD,8,113.4402105263158,96.293,19
Japanese Grand Prix,HARD,9,108.42073684210527,96.121,19
Japanese Grand Prix,HARD,10,102.27026315789473,94.993,19
Japanese Grand Prix,HARD,11,97.43957894736842,95.027,19
Japanese Grand Prix,HARD,12,94.93847368421052,95.093,19
Japanese Grand Prix,HARD,13,94.87489473684211,94.986,19
Japanese Grand Prix,HARD,14,94.7581052631579,94.697,19
Japanese Grand Prix,HARD,15,94.76215789473684,94.831,19
Japanese Grand Prix,HARD,16,94.77884210526315,94.514,19
Japanese Grand Prix,HARD,17,94.54268421052632,94.139,19
Japanese Grand Prix,HARD,18,94.67742105263159,94.164,19
