drv,team,races,laps,average_lap,best_lap,consistency,pace_rank,consistency_rank
NOR,McLaren,2,111,93.20201801801802,82.358,13.889523874935373,1.0,12.0
BOR,Audi,2,110,94.01870000000001,83.257,13.101245141154477,2.0,9.0
BEA,Haas F1 Team,3,133,94.8017969924812,84.02,10.99495492691259,3.0,1.0
ANT,Mercedes,3,167,95.02266467065868,82.417,14.891825334407153,4.0,19.0
RUS,Mercedes,3,167,95.13221556886228,82.67,14.47235107256965,5.0,17.0
LEC,Ferrari,3,167,95.36223952095808,82.579,13.899071193814274,6.0,13.0
HAM,Ferrari,3,167,95.40274850299402,82.423,14.304423268513897,7.0,16.0
ALB,Williams,2,108,95.66061111111111,84.375,14.018081280329753,8.0,15.0
VER,Red Bull Racing,3,156,96.17817307692307,82.091,14.533928553189114,9.0,18.0
GAS,Alpine,3,166,96.30617469879519,84.486,13.489675186676015,10.0,11.0
LAW,Racing Bulls,3,166,96.70934939759036,83.783,12.703443608945815,11.0,6.0
LIN,Racing Bulls,3,165,96.72910909090909,84.182,12.705325747169377,12.0,7.0
OCO,Haas F1 Team,3,165,97.04929090909091,84.424,13.206373880569659,13.0,10.0
COL,Alpine,3,164,97.27118292682927,82.926,12.632674395531227,14.0,5.0
SAI,Williams,3,164,97.43523170731707,83.59,12.437462203708677,15.0,4.0
PER,Cadillac,3,163,98.4095398773006,86.07,11.520413507049131,16.0,2.0
HAD,Red Bull Racing,3,119,99.8986218487395,85.239,12.084639718893179,17.0,3.0
PIA,McLaren,1,53,99.94575471698113,92.996,15.700404979962562,18.0,20.0
HUL,Audi,2,108,101.41110185185185,93.732,13.068888749203653,19.0,8.0
BOT,Cadillac,3,122,102.04672131147541,87.364,13.946336527320033,20.0,14.0
ALO,Aston Martin,3,105,110.62212380952381,85.713,95.30149901392859,21.0,21.0
STR,Aston Martin,3,82,111.67308536585365,85.41,118.87768337371509,22.0,22.0
