drv,team,races,laps,best_lap,average_lap,median_lap,pace_std
NOR,McLaren,2,111,82.358,93.20201801801802,93.398,13.889523874935373
BOR,Audi,2,110,83.257,94.01870000000001,94.6135,13.101245141154477
BEA,Haas F1 Team,3,133,84.02,94.8017969924812,96.778,10.99495492691259
ANT,Mercedes,3,167,82.417,95.02266467065868,94.475,14.891825334407153
RUS,Mercedes,3,167,82.67,95.13221556886228,94.788,14.47235107256965
LEC,Ferrari,3,167,82.579,95.36223952095808,95.126,13.899071193814274
HAM,Ferrari,3,167,82.423,95.40274850299402,95.166,14.304423268513897
ALB,Williams,2,108,84.375,95.66061111111111,95.00450000000001,14.018081280329753
VER,Red Bull Racing,3,156,82.091,96.17817307692307,95.587,14.533928553189114
GAS,Alpine,3,166,84.486,96.30617469879519,95.7595,13.489675186676015
LAW,Racing Bulls,3,166,83.783,96.70934939759036,96.561,12.703443608945815
LIN,Racing Bulls,3,165,84.182,96.72910909090909,96.147,12.705325747169377
OCO,Haas F1 Team,3,165,84.424,97.04929090909091,96.357,13.206373880569659
COL,Alpine,3,164,82.926,97.27118292682927,96.6885,12.632674395531227
SAI,Williams,3,164,83.59,97.43523170731707,96.80799999999999,12.437462203708677
PER,Cadillac,3,163,86.07,98.4095398773006,97.942,11.520413507049131
HAD,Red Bull Racing,3,119,85.239,99.8986218487395,97.689,12.084639718893179
PIA,McLaren,1,53,92.996,99.94575471698113,94.314,15.700404979962562
HUL,Audi,2,108,93.732,101.41110185185185,97.4645,13.068888749203653
BOT,Cadillac,3,122,87.364,102.04672131147541,99.40100000000001,13.946336527320033
ALO,Aston Martin,3,105,85.713,110.62212380952381,98.591,95.30149901392859
STR,Aston Martin,3,82,85.41,111.67308536585365,98.331,118.87768337371509
