race,drv,team,laps,best_lap,average_lap,median_lap,pace_std
Australian Grand Prix,ALB,Williams,57,84.375,88.47150877192983,85.662,8.111483198710172
Australian Grand Prix,ALO,Aston Martin,21,85.713,138.37090476190477,87.876,213.60813492793403
Australian Grand Prix,ANT,Mercedes,58,82.417,86.03060344827585,83.091,8.860909828022107
Australian Grand Prix,BEA,Haas F1 Team,57,84.02,87.56831578947369,84.807,7.612000406214553
Australian Grand Prix,BOR,Audi,57,83.257,87.7118596491228,84.83,8.032040199455194
Australian Grand Prix,BOT,Cadillac,15,87.364,98.12740000000001,89.219,26.54236423638902
Australian Grand Prix,COL,Alpine,56,82.926,89.20157142857143,86.0675,8.219339765250211
Australian Grand Prix,GAS,Alpine,57,84.486,87.99698245614036,85.271,7.351475793265767
Australian Grand Prix,HAD,Red Bull Racing,10,85.239,86.5525,85.404,3.3449027971261387
Australian Grand Prix,HAM,Ferrari,58,82.423,86.2576724137931,83.4915,7.650690858354094
Australian Grand Prix,LAW,Racing Bulls,57,83.783,88.49077192982456,85.377,8.840866596618115
Australian Grand Prix,LEC,Ferrari,58,82.579,86.24689655172413,83.343,7.439266169926001
Australian Grand Prix,LIN,Racing Bulls,57,84.182,87.6950350877193,84.916,7.4477958627390315
Australian Grand Prix,NOR,McLaren,58,82.358,86.87141379310346,83.904,8.44905958648338
Australian Grand Prix,OCO,Haas F1 Team,57,84.424,88.01142105263158,85.36,7.287612226402145
Australian Grand Prix,PER,Cadillac,55,86.07,90.81183636363636,88.094,7.852015173669879
Australian Grand Prix,RUS,Mercedes,58,82.67,85.9793275862069,83.1675,8.415192959161866
Australian Grand Prix,SAI,Williams,56,83.59,89.70869642857143,86.1325,9.041556844863395
Australian Grand Prix,STR,Aston Martin,43,85.41,117.85660465116278,88.072,164.32640867031333
Australian Grand Prix,VER,Red Bull Racing,58,82.091,86.92099999999999,83.695,8.241411882958005
Chinese Grand Prix,ALO,Aston Martin,32,99.721,106.23696875,101.148,12.554684514437483
Chinese Grand Prix,ANT,Mercedes,56,95.275,99.92155357142857,96.53450000000001,13.664220243753585
Chinese Grand Prix,BEA,Haas F1 Team,56,96.429,100.94419642857143,97.6265,11.225170774841274
Chinese Grand Prix,BOT,Cadillac,55,98.393,102.75936363636364,99.967,10.165777100178078
Chinese Grand Prix,COL,Alpine,55,96.783,101.96381818181818,98.685,12.127634518048728
Chinese Grand Prix,GAS,Alpine,56,96.505,100.98667857142857,97.727,12.393169246303893
Chinese Grand Prix,HAD,Red Bull Racing,56,97.311,101.47953571428572,98.233,10.471504748974338
Chinese Grand Prix,HAM,Ferrari,56,96.092,100.37275,96.94149999999999,12.998293962530761
Chinese Grand Prix,HUL,Audi,55,96.18,102.12210909090909,98.588,11.947674124610145
Chinese Grand Prix,LAW,Racing Bulls,56,97.096,101.360625,98.333,10.362881257050434
Chinese Grand Prix,LEC,Ferrari,56,96.011,100.43751785714286,96.869,12.858413954211345
Chinese Grand Prix,LIN,Racing Bulls,55,96.099,102.15336363636365,99.139,11.510887424945318
Chinese Grand Prix,OCO,Haas F1 Team,55,95.964,102.94296363636364,98.758,12.897957109218726
Chinese Grand Prix,PER,Cadillac,55,98.523,103.09541818181818,100.106,9.43243015835558
Chinese Grand Prix,RUS,Mercedes,56,95.4,100.02003571428573,96.44749999999999,13.246243556659277
Chinese Grand Prix,SAI,Williams,55,97.981,101.95054545454545,98.763,10.131174181187607
Chinese Grand Prix,STR,Aston Martin,9,100.883,102.21433333333333,101.174,2.7520042241973366
Chinese Grand Prix,VER,Red Bull Racing,45,97.046,103.25104444444443,98.039,13.949540596794442
Japanese Grand Prix,ALB,Williams,51,93.427,103.69549019607844,96.948,14.90178258380191
Japanese Grand Prix,ALO,Aston Martin,52,96.221,102.11444230769231,98.2285,11.344094926546092
Japanese Grand Prix,ANT,Mercedes,53,92.432,99.68684905660378,94.063,16.917262242587313
Japanese Grand Prix,BEA,Haas F1 Team,20,95.604,98.21849999999999,96.764,4.88603807318686
Japanese Grand Prix,BOR,Audi,53,94.164,100.80152830188679,96.146,14.135795303744887
Japanese Grand Prix,BOT,Cadillac,52,96.269,102.42353846153847,98.4845,12.386996609287165
Japanese Grand Prix,COL,Alpine,53,94.512,100.92784905660378,96.475,12.999885832925056
Japanese Grand Prix,GAS,Alpine,53,93.691,100.29703773584906,95.524,15.5321928338956
Japanese Grand Prix,HAD,Red Bull Racing,53,93.837,100.74635849056604,96.203,13.259052288174724
Japanese Grand Prix,HAM,Ferrari,53,92.777,100.15924528301886,94.959,16.35212309187269
Japanese Grand Prix,HUL,Audi,53,93.732,100.6732641509434,96.037,14.216840711406235
Japanese Grand Prix,LAW,Racing Bulls,53,94.23,100.63364150943396,96.376,14.18698387349141
Japanese Grand Prix,LEC,Ferrari,53,92.634,99.97496226415095,94.266,15.461522622505223
Japanese Grand Prix,LIN,Racing Bulls,53,94.314,100.81605660377359,96.083,13.197383030817846
Japanese Grand Prix,NOR,McLaren,53,93.208,100.12984905660376,94.608,15.369721024188868
Japanese Grand Prix,OCO,Haas F1 Team,53,94.256,100.65318867924528,95.956,13.438462582419918
Japanese Grand Prix,PER,Cadillac,53,95.637,101.43124528301887,97.605,12.785521328839812
Japanese Grand Prix,PIA,McLaren,53,92.996,99.94575471698113,94.314,15.700404979962562
Japanese Grand Prix,RUS,Mercedes,53,92.549,99.98409433962264,94.71,16.194174174760114
Japanese Grand Prix,SAI,Williams,53,94.514,100.91341509433963,96.489,13.915973467751085
Japanese Grand Prix,STR,Aston Martin,30,97.217,105.64766666666667,98.458,15.483023974737591
Japanese Grand Prix,VER,Red Bull Racing,53,93.552,100.30339622641509,95.587,15.307491460744137
