race,drv,race_phase,average_lap,laps
Australian Grand Prix,ALB,Early,92.10100000000001,15
Australian Grand Prix,ALB,Middle,88.69386666666666,15
Australian Grand Prix,ALB,Late,86.33159259259259,27
Australian Grand Prix,ALO,Early,158.9674,15
Australian Grand Prix,ALO,Middle,86.87966666666667,6
Australian Grand Prix,ANT,Early,90.67893333333333,15
Australian Grand Prix,ANT,Middle,86.1862,15
Australian Grand Prix,ANT,Late,83.45707142857142,28
Australian Grand Prix,BEA,Early,90.93886666666667,15
Australian Grand Prix,BEA,Middle,88.21713333333334,15
Australian Grand Prix,BEA,Late,85.33533333333334,27
Australian Grand Prix,BOR,Early,91.06179999999999,15
Australian Grand Prix,BOR,Middle,88.42333333333333,15
Australian Grand Prix,BOR,Late,85.45551851851852,27
Australian Grand Prix,BOT,Early,98.12740000000001,15
Australian Grand Prix,COL,Early,93.91613333333333,15
Australian Grand Prix,COL,Middle,88.42406666666668,15
Australian Grand Prix,COL,Late,86.93019230769231,26
Australian Grand Prix,GAS,Early,91.85373333333334,15
Australian Grand Prix,GAS,Middle,87.95773333333334,15
Australian Grand Prix,GAS,Late,85.87614814814815,27
Australian Grand Prix,HAD,Early,86.5525,10
Australian Grand Prix,HAM,Early,89.68533333333333,15
Australian Grand Prix,HAM,Middle,88.15466666666666,15
Australian Grand Prix,HAM,Late,83.40517857142856,28
Australian Grand Prix,LAW,Early,92.76993333333333,15
Australian Grand Prix,LAW,Middle,88.58866666666667,15
Australian Grand Prix,LAW,Late,86.05907407407406,27
Australian Grand Prix,LEC,Early,89.55760000000001,15
Australian Grand Prix,LEC,Middle,87.83586666666666,15
Australian Grand Prix,LEC,Late,83.62207142857143,28
Australian Grand Prix,LIN,Early,90.667,15
Australian Grand Prix,LIN,Middle,88.42026666666668,15
Australian Grand Prix,LIN,Late,85.64103703703704,27
Australian Grand Prix,NOR,Early,91.31713333333333,15
Australian Grand Prix,NOR,Middle,86.84533333333334,15
Australian Grand Prix,NOR,Late,84.50375,28
Australian Grand Prix,OCO,Early,91.74666666666667,15
Australian Grand Prix,OCO,Middle,88.10940000000001,15
Australian Grand Prix,OCO,Late,85.88185185185185,27
Australian Grand Prix,PER,Early,92.75626666666668,15
Australian Grand Prix,PER,Middle,91.76973333333333,15
Australian Grand Prix,PER,Late,89.07044,25
Australian Grand Prix,RUS,Early,90.29693333333333,15
Australian Grand Prix,RUS,Middle,86.13493333333334,15
Australian Grand Prix,RUS,Late,83.58296428571428,28
Australian Grand Prix,SAI,Early,92.16640000000001,15
Australian Grand Prix,SAI,Middle,88.71966666666667,15
Australian Grand Prix,SAI,Late,88.86138461538462,26
Australian Grand Prix,STR,Early,94.65253333333334,15
Australian Grand Prix,STR,Middle,92.99006666666666,15
Australian Grand Prix,STR,Late,173.3226923076923,13
Australian Grand Prix,VER,Early,90.82013333333333,15
Australian Grand Prix,VER,Middle,87.51706666666668,15
Australian Grand Prix,VER,Late,84.51285714285714,28
Chinese Grand Prix,ALO,Early,110.94,15
Chinese Grand Prix,ALO,Middle,100.10326666666667,15
Chinese Grand Prix,ALO,Late,116.967,2
Chinese Grand Prix,ANT,Early,110.14326666666668,15
Chinese Grand Prix,ANT,Middle,96.63226666666667,15
Chinese Grand Prix,ANT,Late,95.92207692307693,26
Chinese Grand Prix,BEA,Early,110.49793333333334,15
Chinese Grand Prix,BEA,Middle,97.95859999999999,15
Chinese Grand Prix,BEA,Late,97.15488461538462,26
Chinese Grand Prix,BOT,Early,110.8204,15
Chinese Grand Prix,BOT,Middle,99.94233333333334,15
Chinese Grand Prix,BOT,Late,99.61296,25
Chinese Grand Prix,COL,Early,110.26113333333333,15
Chinese Grand Prix,COL,Middle,98.8268,15
Chinese Grand Prix,COL,Late,98.86764,25
Chinese Grand Prix,GAS,Early,110.54326666666665,15
Chinese Grand Prix,GAS,Middle,98.45093333333332,15
Chinese Grand Prix,GAS,Late,96.93619230769231,26
Chinese Grand Prix,HAD,Early,110.69393333333332,15
Chinese Grand Prix,HAD,Middle,98.66506666666666,15
Chinese Grand Prix,HAD,Late,97.78726923076923,26
Chinese Grand Prix,HAM,Early,110.1768,15
Chinese Grand Prix,HAM,Middle,97.23673333333333,15
Chinese Grand Prix,HAM,Late,96.52580769230768,26
Chinese Grand Prix,HUL,Early,110.5208,15
Chinese Grand Prix,HUL,Middle,98.63073333333334,15
Chinese Grand Prix,HUL,Late,99.17772000000001,25
Chinese Grand Prix,LAW,Early,110.6254,15
Chinese Grand Prix,LAW,Middle,98.64086666666667,15
Chinese Grand Prix,LAW,Late,97.58465384615384,26
Chinese Grand Prix,LEC,Early,110.29173333333333,15
Chinese Grand Prix,LEC,Middle,97.06806666666667,15
Chinese Grand Prix,LEC,Late,96.69630769230768,26
Chinese Grand Prix,LIN,Early,110.46526666666666,15
Chinese Grand Prix,LIN,Middle,99.9506,15
Chinese Grand Prix,LIN,Late,98.48788,25
Chinese Grand Prix,OCO,Early,110.34313333333333,15
Chinese Grand Prix,OCO,Middle,100.50413333333333,15
Chinese Grand Prix,OCO,Late,99.96616,25
Chinese Grand Prix,PER,Early,110.89,15
Chinese Grand Prix,PER,Middle,100.04633333333332,15
Chinese Grand Prix,PER,Late,100.24812,25
Chinese Grand Prix,RUS,Early,110.38680000000001,15
Chinese Grand Prix,RUS,Middle,96.9134,15
Chinese Grand Prix,RUS,Late,95.8315,26
Chinese Grand Prix,SAI,Early,110.66093333333333,15
Chinese Grand Prix,SAI,Middle,99.08326666666667,15
Chinese Grand Prix,SAI,Late,98.44468,25
Chinese Grand Prix,STR,Early,102.21433333333333,9
Chinese Grand Prix,VER,Early,110.5756,15
Chinese Grand Prix,VER,Middle,98.03273333333333,15
Chinese Grand Prix,VER,Late,101.1448,15
Japanese Grand Prix,ALB,Early,97.7752,15
Japanese Grand Prix,ALB,Middle,113.07646666666666,15
Japanese Grand Prix,ALB,Late,101.22357142857143,21
Japanese Grand Prix,ALO,Early,99.04333333333334,15
Japanese Grand Prix,ALO,Middle,112.09473333333334,15
Japanese Grand Prix,ALO,Late,97.40363636363637,22
Japanese Grand Prix,ANT,Early,95.43113333333334,15
Japanese Grand Prix,ANT,Middle,114.24813333333333,15
Japanese Grand Prix,ANT,Late,92.96582608695653,23
Japanese Grand Prix,BEA,Early,97.37146666666666,15
Japanese Grand Prix,BEA,Middle,100.7596,5
Japanese Grand Prix,BOR,Early,97.25893333333333,15
Japanese Grand Prix,BOR,Middle,113.32300000000001,15
Japanese Grand Prix,BOR,Late,94.94573913043477,23
Japanese Grand Prix,BOT,Early,99.41106666666666,15
Japanese Grand Prix,BOT,Middle,112.56886666666666,15
Japanese Grand Prix,BOT,Late,97.56022727272726,22
Japanese Grand Prix,COL,Early,97.2312,15
Japanese Grand Prix,COL,Middle,113.56406666666666,15
Japanese Grand Prix,COL,Late,95.09769565217391,23
Japanese Grand Prix,GAS,Early,96.06840000000001,15
Japanese Grand Prix,GAS,Middle,114.16233333333334,15
Japanese Grand Prix,GAS,Late,94.01226086956522,23
Japanese Grand Prix,HAD,Early,97.0742,15
Japanese Grand Prix,HAD,Middle,113.5398,15
Japanese Grand Prix,HAD,Late,94.79769565217393,23
Japanese Grand Prix,HAM,Early,95.5986,15
Japanese Grand Prix,HAM,Middle,114.31513333333334,15
Japanese Grand Prix,HAM,Late,93.90147826086957,23
Japanese Grand Prix,HUL,Early,97.52966666666666,15
Japanese Grand Prix,HUL,Middle,113.15813333333334,15
Japanese Grand Prix,HUL,Late,94.58113043478261,23
Japanese Grand Prix,LAW,Early,97.16746666666667,15
Japanese Grand Prix,LAW,Middle,113.18713333333334,15
Japanese Grand Prix,LAW,Late,94.70713043478261,23
Japanese Grand Prix,LEC,Early,95.44413333333334,15
Japanese Grand Prix,LEC,Middle,114.55526666666667,15
Japanese Grand Prix,LEC,Late,93.42095652173911,23
Japanese Grand Prix,LIN,Early,97.06099999999999,15
Japanese Grand Prix,LIN,Middle,113.6166,15
Japanese Grand Prix,LIN,Late,94.91682608695652,23
Japanese Grand Prix,NOR,Early,95.51233333333333,15
Japanese Grand Prix,NOR,Middle,114.56133333333334,15
Japanese Grand Prix,NOR,Late,93.72943478260869,23
Japanese Grand Prix,OCO,Early,96.7968,15
Japanese Grand Prix,OCO,Middle,113.61333333333333,15
Japanese Grand Prix,OCO,Late,94.71595652173913,23
Japanese Grand Prix,PER,Early,98.52473333333334,15
Japanese Grand Prix,PER,Middle,112.395,15
Japanese Grand Prix,PER,Late,96.17652173913044,23
Japanese Grand Prix,PIA,Early,95.11766666666666,15
Japanese Grand Prix,PIA,Middle,114.74293333333334,15
Japanese Grand Prix,PIA,Late,93.44417391304347,23
Japanese Grand Prix,RUS,Early,95.20733333333332,15
Japanese Grand Prix,RUS,Middle,114.74406666666667,15
Japanese Grand Prix,RUS,Late,93.47330434782609,23
Japanese Grand Prix,SAI,Early,97.65186666666666,15
Japanese Grand Prix,SAI,Middle,113.09886666666667,15
Japanese Grand Prix,SAI,Late,95.09347826086957,23
Japanese Grand Prix,STR,Early,99.01773333333334,15
Japanese Grand Prix,STR,Middle,112.27759999999999,15
Japanese Grand Prix,VER,Early,96.3314,15
Japanese Grand Prix,VER,Middle,113.92013333333333,15
Japanese Grand Prix,VER,Late,94.01334782608697,23
