race,drv,stint,compound,laps,average_lap,best_lap,first_lap_time,last_lap_time,average_tyre_life,pace_change
Australian Grand Prix,ALB,1,MEDIUM,12,91.56275,85.558,99.376,125.578,6.5,26.201999999999998
Australian Grand Prix,ALB,2,HARD,21,90.29438095238095,85.035,112.348,110.03,11.0,-2.317999999999998
Australian Grand Prix,ALB,3,SOFT,24,85.330875,84.375,90.918,86.268,12.5,-4.650000000000006
Australian Grand Prix,ALO,1,SOFT,11,91.64536363636364,86.792,98.271,119.99,6.0,21.718999999999994
Australian Grand Prix,ALO,2,SOFT,2,595.9354999999999,122.34,122.34,1069.531,1.5,947.1909999999999
Australian Grand Prix,ALO,3,SOFT,8,88.227375,85.713,98.828,88.082,6.5,-10.74600000000001
Australian Grand Prix,ANT,1,MEDIUM,12,89.37725,83.683,96.966,129.682,6.5,32.715999999999994
Australian Grand Prix,ANT,2,HARD,46,85.15756521739131,82.417,117.691,82.653,23.5,-35.038
Australian Grand Prix,BEA,1,MEDIUM,18,91.16983333333333,84.562,99.765,107.604,9.5,7.838999999999999
Australian Grand Prix,BEA,2,HARD,39,85.90607692307692,84.02,116.677,86.649,20.0,-30.028000000000006
Australian Grand Prix,BOR,1,MEDIUM,18,91.46261111111112,84.819,98.755,110.359,9.5,11.604
Australian Grand Prix,BOR,2,HARD,15,87.88773333333333,83.978,115.679,104.235,8.0,-11.444000000000003
Australian Grand Prix,BOR,3,HARD,24,84.788875,83.257,93.286,84.821,12.5,-8.465000000000003
Australian Grand Prix,BOT,1,HARD,12,98.75675000000001,87.364,100.85,192.042,6.5,91.19200000000001
Australian Grand Prix,BOT,2,HARD,3,95.61,91.33,104.111,91.33,14.0,-12.781000000000006
Australian Grand Prix,COL,1,HARD,9,91.15199999999999,85.818,101.613,109.931,5.0,8.317999999999998
Australian Grand Prix,COL,2,HARD,37,89.87243243243242,84.932,92.762,102.911,28.0,10.149000000000001
Australian Grand Prix,COL,3,SOFT,10,84.964,82.926,90.309,83.621,5.5,-6.688000000000002
Australian Grand Prix,GAS,1,MEDIUM,11,88.86627272727273,84.964,97.98,104.821,6.0,6.840999999999994
Australian Grand Prix,GAS,2,HARD,46,87.78910869565217,84.486,118.072,84.837,23.5,-33.235
Australian Grand Prix,HAD,1,MEDIUM,10,86.5525,85.239,96.046,85.363,5.5,-10.683000000000007
Australian Grand Prix,HAM,1,MEDIUM,28,89.10682142857142,83.382,95.261,99.578,14.5,4.317000000000007
Australian Grand Prix,HAM,2,HARD,30,83.59846666666667,82.423,89.135,82.637,15.5,-6.498000000000005
Australian Grand Prix,LAW,1,MEDIUM,11,90.33554545454545,85.751,102.188,110.026,6.0,7.837999999999994
Australian Grand Prix,LAW,2,HARD,22,91.47518181818181,84.91,130.384,114.107,11.5,-16.276999999999987
Australian Grand Prix,LAW,3,SOFT,24,84.90954166666667,83.783,90.927,86.317,12.5,-4.610000000000014
Australian Grand Prix,LEC,1,MEDIUM,25,89.57508,83.322,91.929,97.834,13.0,5.905000000000001
Australian Grand Prix,LEC,2,HARD,33,83.72554545454545,82.579,89.317,83.317,17.0,-6.0
Australian Grand Prix,LIN,1,MEDIUM,18,91.06794444444444,84.877,96.081,108.224,9.5,12.143
Australian Grand Prix,LIN,2,HARD,39,86.13830769230769,84.182,117.225,84.689,20.0,-32.536
Australian Grand Prix,NOR,1,MEDIUM,11,88.33936363636363,84.978,96.458,103.391,6.0,6.933000000000007
Australian Grand Prix,NOR,2,HARD,23,89.84326086956521,83.394,118.075,112.732,12.0,-5.3430000000000035
Australian Grand Prix,NOR,3,MEDIUM,24,83.35058333333333,82.358,89.434,83.046,12.5,-6.387999999999991
Australian Grand Prix,OCO,1,MEDIUM,11,88.81036363636363,85.029,97.5,105.949,6.0,8.448999999999998
Australian Grand Prix,OCO,2,HARD,46,87.82036956521739,84.424,116.405,84.573,23.5,-31.832000000000008
Australian Grand Prix,PER,1,MEDIUM,18,94.29555555555555,87.05,102.557,126.084,9.5,23.527
Australian Grand Prix,PER,2,HARD,25,89.89304,86.49,103.359,105.049,13.0,1.690000000000012
