race,team,drivers,laps,best_lap,average_lap,median_lap,pace_std
Australian Grand Prix,Alpine,2,113,82.926,88.59394690265486,85.678,7.782264951983444
Australian Grand Prix,Aston Martin,2,64,85.41,124.587859375,88.011,180.5036835969263
Australian Grand Prix,Audi,1,57,83.257,87.7118596491228,84.83,8.032040199455194
Australian Grand Prix,Cadillac,2,70,86.07,92.37945714285713,88.0945,14.15392847570024
Australian Grand Prix,Ferrari,2,116,82.423,86.25228448275861,83.414,7.512841885506888
Australian Grand Prix,Haas F1 Team,2,114,84.02,87.78986842105263,85.1905,7.421863727859945
Australian Grand Prix,McLaren,1,58,82.358,86.87141379310346,83.904,8.44905958648338
Australian Grand Prix,Mercedes,2,116,82.417,86.00496551724139,83.11449999999999,8.60331300789667
Australian Grand Prix,Racing Bulls,2,114,83.783,88.09290350877194,85.22149999999999,8.14761971861124
Australian Grand Prix,Red Bull Racing,2,68,82.091,86.86680882352941,84.0325,7.7008849855014
Australian Grand Prix,Williams,2,113,83.59,89.08462831858407,85.734,8.56907761246662
Chinese Grand Prix,Alpine,2,111,96.505,101.47084684684684,98.238,12.216335205705063
Chinese Grand Prix,Aston Martin,2,41,99.721,105.35395121951218,101.174,11.247752288682431
Chinese Grand Prix,Audi,1,55,96.18,102.12210909090909,98.588,11.947674124610145
Chinese Grand Prix,Cadillac,2,110,98.393,102.92739090909092,100.00800000000001,9.762335803076365
Chinese Grand Prix,Ferrari,2,112,96.011,100.40513392857143,96.923,12.87021580875331
Chinese Grand Prix,Haas F1 Team,2,111,95.964,101.93457657657657,98.197,12.069643933551605
Chinese Grand Prix,Mercedes,2,112,95.275,99.97079464285714,96.5135,13.396192528280045
Chinese Grand Prix,Racing Bulls,2,111,96.099,101.75342342342343,98.543,10.904076870226564
Chinese Grand Prix,Red Bull Racing,2,101,97.046,102.26882178217822,98.147,12.112443771094282
Chinese Grand Prix,Williams,1,55,97.981,101.95054545454545,98.763,10.131174181187607
Japanese Grand Prix,Alpine,2,106,93.691,100.61244339622641,95.6635,14.257275283721398
Japanese Grand Prix,Aston Martin,2,82,96.221,103.40708536585365,98.4265,13.030166413764654
Japanese Grand Prix,Audi,2,106,93.732,100.7373962264151,96.0915,14.108855017955923
Japanese Grand Prix,Cadillac,2,105,95.637,101.92266666666666,97.91,12.539009681840191
Japanese Grand Prix,Ferrari,2,106,92.634,100.0671037735849,94.9015,15.837367427898842
Japanese Grand Prix,Haas F1 Team,2,73,94.256,99.9861506849315,96.43,11.744068217462942
Japanese Grand Prix,McLaren,2,106,92.996,100.03780188679245,94.5135,15.462061782939076
Japanese Grand Prix,Mercedes,2,106,92.432,99.8354716981132,94.292,16.481297749531596
Japanese Grand Prix,Racing Bulls,2,106,94.23,100.72484905660379,96.177,13.63602936536841
Japanese Grand Prix,Red Bull Racing,2,106,93.552,100.52487735849057,95.646,14.253330891377688
Japanese Grand Prix,Williams,2,104,93.427,102.27770192307692,96.7615,14.405481962113347
