race,team,drv,average_lap,best_lap,laps,team_average,difference_to_team_average
Australian Grand Prix,Alpine,COL,89.20157142857143,82.926,56,88.59927694235589,0.6022944862155413
Australian Grand Prix,Alpine,GAS,87.99698245614036,84.486,57,88.59927694235589,-0.6022944862155271
Australian Grand Prix,Aston Martin,ALO,138.37090476190477,85.713,21,128.11375470653377,10.257150055371
Australian Grand Prix,Aston Martin,STR,117.85660465116278,85.41,43,128.11375470653377,-10.257150055370985
Australian Grand Prix,Audi,BOR,87.7118596491228,83.257,57,87.7118596491228,0.0
Australian Grand Prix,Cadillac,BOT,98.12740000000001,87.364,15,94.46961818181819,3.6577818181818174
Australian Grand Prix,Cadillac,PER,90.81183636363636,86.07,55,94.46961818181819,-3.6577818181818316
Australian Grand Prix,Ferrari,HAM,86.2576724137931,82.423,58,86.25228448275863,0.005387931034476878
Australian Grand Prix,Ferrari,LEC,86.24689655172413,82.579,58,86.25228448275863,-0.005387931034491089
Australian Grand Prix,Haas F1 Team,BEA,87.56831578947369,84.02,57,87.78986842105263,-0.22155263157894467
Australian Grand Prix,Haas F1 Team,OCO,88.01142105263158,84.424,57,87.78986842105263,0.22155263157894467
Australian Grand Prix,McLaren,NOR,86.87141379310346,82.358,58,86.87141379310346,0.0
Australian Grand Prix,Mercedes,ANT,86.03060344827585,82.417,58,86.00496551724137,0.0256379310344812
Australian Grand Prix,Mercedes,RUS,85.9793275862069,82.67,58,86.00496551724137,-0.025637931034466988
Australian Grand Prix,Racing Bulls,LAW,88.49077192982456,83.783,57,88.09290350877194,0.3978684210526211
Australian Grand Prix,Racing Bulls,LIN,87.6950350877193,84.182,57,88.09290350877194,-0.3978684210526353
Australian Grand Prix,Red Bull Racing,HAD,86.5525,85.239,10,86.73675,-0.1842500000000058
Australian Grand Prix,Red Bull Racing,VER,86.92099999999999,82.091,58,86.73675,0.1842499999999916
Australian Grand Prix,Williams,ALB,88.47150877192983,84.375,57,89.09010260025063,-0.6185938283207975
Australian Grand Prix,Williams,SAI,89.70869642857143,83.59,56,89.09010260025063,0.6185938283207975
Chinese Grand Prix,Alpine,COL,101.96381818181818,96.783,55,101.47524837662337,0.48856980519481397
Chinese Grand Prix,Alpine,GAS,100.98667857142857,96.505,56,101.47524837662337,-0.48856980519479976
Chinese Grand Prix,Aston Martin,ALO,106.23696875,99.721,32,104.22565104166667,2.011317708333337
Chinese Grand Prix,Aston Martin,STR,102.21433333333333,100.883,9,104.22565104166667,-2.011317708333337
Chinese Grand Prix,Audi,HUL,102.12210909090909,96.18,55,102.12210909090909,0.0
Chinese Grand Prix,Cadillac,BOT,102.75936363636364,98.393,55,102.92739090909092,-0.16802727272727225
Chinese Grand Prix,Cadillac,PER,103.09541818181818,98.523,55,102.92739090909092,0.16802727272725804
Chinese Grand Prix,Ferrari,HAM,100.37275,96.092,56,100.40513392857143,-0.03238392857143424
Chinese Grand Prix,Ferrari,LEC,100.43751785714286,96.011,56,100.40513392857143,0.03238392857143424
Chinese Grand Prix,Haas F1 Team,BEA,100.94419642857143,96.429,56,101.94358003246754,-0.9993836038961064
Chinese Grand Prix,Haas F1 Team,OCO,102.94296363636364,95.964,55,101.94358003246754,0.9993836038961064
Chinese Grand Prix,Mercedes,ANT,99.92155357142857,95.275,56,99.97079464285716,-0.04924107142858247
Chinese Grand Prix,Mercedes,RUS,100.02003571428573,95.4,56,99.97079464285716,0.04924107142856826
Chinese Grand Prix,Racing Bulls,LAW,101.360625,97.096,56,101.75699431818182,-0.39636931818182575
Chinese Grand Prix,Racing Bulls,LIN,102.15336363636365,96.099,55,101.75699431818182,0.39636931818182575
Chinese Grand Prix,Red Bull Racing,HAD,101.47953571428572,97.311,56,102.36529007936508,-0.8857543650793644
Chinese Grand Prix,Red Bull Racing,VER,103.25104444444443,97.046,45,102.36529007936508,0.8857543650793502
Chinese Grand Prix,Williams,SAI,101.95054545454545,97.981,55,101.95054545454545,0.0
Japanese Grand Prix,Alpine,COL,100.92784905660378,94.512,53,100.61244339622641,0.3154056603773654
Japanese Grand Prix,Alpine,GAS,100.29703773584906,93.691,53,100.61244339622641,-0.3154056603773512
Japanese Grand Prix,Aston Martin,ALO,102.11444230769231,96.221,52,103.88105448717948,-1.7666121794871685
Japanese Grand Prix,Aston Martin,STR,105.64766666666667,97.217,30,103.88105448717948,1.7666121794871827
Japanese Grand Prix,Audi,BOR,100.80152830188679,94.164,53,100.73739622641509,0.0641320754717043
Japanese Grand Prix,Audi,HUL,100.6732641509434,93.732,53,100.73739622641509,-0.06413207547169009
Japanese Grand Prix,Cadillac,BOT,102.42353846153847,96.269,52,101.92739187227866,0.4961465892598085
Japanese Grand Prix,Cadillac,PER,101.43124528301887,95.637,53,101.92739187227866,-0.49614658925979427
Japanese Grand Prix,Ferrari,HAM,100.15924528301886,92.777,53,100.0671037735849,0.09214150943395794
Japanese Grand Prix,Ferrari,LEC,99.97496226415095,92.634,53,100.0671037735849,-0.09214150943395794
Japanese Grand Prix,Haas F1 Team,BEA,98.21849999999999,95.604,20,99.43584433962263,-1.2173443396226418
Japanese Grand Prix,Haas F1 Team,OCO,100.65318867924528,94.256,53,99.43584433962263,1.2173443396226418
Japanese Grand Prix,McLaren,NOR,100.12984905660376,93.208,53,100.03780188679244,0.09204716981132322
Japanese Grand Prix,McLaren,PIA,99.94575471698113,92.996,53,100.03780188679244,-0.092047169811309
Japanese Grand Prix,Mercedes,ANT,99.68684905660378,92.432,53,99.83547169811321,-0.1486226415094336
Japanese Grand Prix,Mercedes,RUS,99.98409433962264,92.549,53,99.83547169811321,0.1486226415094336
Japanese Grand Prix,Racing Bulls,LAW,100.63364150943396,94.23,53,100.72484905660377,-0.09120754716981594
Japanese Grand Prix,Racing Bulls,LIN,100.81605660377359,94.314,53,100.72484905660377,0.09120754716981594
Japanese Grand Prix,Red Bull Racing,HAD,100.74635849056604,93.837,53,100.52487735849056,0.22148113207548192
Japanese Grand Prix,Red Bull Racing,VER,100.30339622641509,93.552,53,100.52487735849056,-0.2214811320754677
Japanese Grand Prix,Williams,ALB,103.69549019607844,93.427,51,102.30445264520904,1.3910375508693988
Japanese Grand Prix,Williams,SAI,100.91341509433963,94.514,53,102.30445264520904,-1.391037550869413
