time,lap,compound,stint,s1,s2,s3,ms1,ms2,ms3,life,pos,status,pb,sesT,drv,dNum,pout,pin,s1T,s2T,s3T,vi1,vi2,vfl,vst,fresh,team,lST,lSD,del,delR,ff1G,iacc,wT,wAT,wH,wP,wR,wTT,wWD,wWS,race
107.23,1,HARD,1,,31.309,44.412,111111.0,111111.0,11111111111.0,1,10.0,12,False,3491.542,ALO,14,None,None,None,3447.245,3491.693,286.0,268.0,261.0,323.0,True,Aston Martin,3384.05,2026-03-15T07:03:59.831000000,False,None,False,False,3420.295,15.6,55.2,1024.4,False,23.3,72,2.8,Chinese Grand Prix
102.291,2,HARD,1,26.719,31.646,43.926,1111111.0,101000.0,1100111111.0,2,13.0,1,True,3593.833,ALO,14,None,None,3518.347,3549.993,3593.919,287.0,253.0,265.0,325.0,True,Aston Martin,3491.542,2026-03-15T07:05:47.323000000,False,None,False,True,3540.312,15.6,55.3,1024.5,False,22.5,102,4.5,Chinese Grand Prix
101.588,3,HARD,1,26.6,31.151,43.837,7110100.0,1110.0,10000011100.0,3,14.0,1,True,3695.421,ALO,14,None,None,3620.519,3651.67,3695.507,263.0,250.0,263.0,309.0,True,Aston Martin,3593.833,2026-03-15T07:07:29.614000000,False,None,False,True,3600.332,15.5,55.8,1024.4,False,23.0,107,1.8,Chinese Grand Prix
100.471,4,HARD,1,26.212,30.81,43.449,11100.0,100100.0,10000101110.0,4,14.0,1,True,3795.892,ALO,14,None,None,3721.719,3752.529,3795.978,274.0,251.0,263.0,312.0,True,Aston Martin,3695.421,2026-03-15T07:09:11.202000000,False,None,False,True,3720.342,15.5,55.4,1024.5,False,23.0,105,2.5,Chinese Grand Prix
101.554,5,HARD,1,26.535,31.007,44.012,7011000.0,100.0,11000.0,5,14.0,1,False,3897.446,ALO,14,None,None,3822.513,3853.52,3897.532,255.0,247.0,263.0,306.0,True,Aston Martin,3795.892,2026-03-15T07:10:51.673000000,False,None,False,True,3840.33,15.5,55.3,1024.5,False,23.1,92,3.7,Chinese Grand Prix
101.824,6,HARD,1,26.393,31.047,44.384,7010000.0,0.0,0.0,6,15.0,1,False,3999.27,ALO,14,None,None,3923.925,3954.972,3999.356,256.0,249.0,260.0,302.0,True,Aston Martin,3897.446,2026-03-15T07:12:33.227000000,False,None,False,True,3900.33,15.6,55.6,1024.5,False,22.9,107,2.2,Chinese Grand Prix
101.659,7,HARD,1,26.579,31.303,43.777,7000000.0,0.0,11.0,7,15.0,1,False,4100.929,ALO,14,None,None,4025.935,4057.238,4101.015,267.0,248.0,265.0,316.0,True,Aston Martin,3999.27,2026-03-15T07:14:15.051000000,False,None,False,True,4020.34,15.6,55.8,1024.5,False,22.4,111,2.4,Chinese Grand Prix
101.113,8,HARD,1,26.389,31.171,43.553,7000000.0,0.0,10000000000.0,8,15.0,1,False,4202.042,ALO,14,None,None,4127.404,4158.575,4202.128,258.0,250.0,263.0,315.0,True,Aston Martin,4100.929,2026-03-15T07:15:56.710000000,False,None,False,True,4080.343,15.6,55.9,1024.3,False,22.8,88,2.1,Chinese Grand Prix
101.631,9,HARD,1,26.658,31.46,43.513,7000000.0,0.0,11.0,9,15.0,1,False,4303.673,ALO,14,None,None,4228.786,4260.246,4303.759,255.0,247.0,265.0,310.0,True,Aston Martin,4202.042,2026-03-15T07:17:37.823000000,False,None,False,True,4200.397,15.6,56.0,1024.5,False,22.6,110,2.6,Chinese Grand Prix
119.919,10,HARD,1,26.504,37.346,56.069,7000000.0,0.0,0.0,10,11.0,124,False,4423.592,ALO,14,None,None,4330.263,4367.609,4423.678,255.0,200.0,166.0,226.0,True,Aston Martin,4303.673,2026-03-15T07:19:19.454000000,False,None,False,False,4320.396,15.5,56.2,1024.6,False,22.4,92,1.5,Chinese Grand Prix
135.393,11,HARD,1,37.207,40.635,57.551,7000000.0,0.0,0.0,11,11.0,4,False,4558.985,ALO,14,None,None,4460.885,4501.52,4559.071,170.0,218.0,216.0,250.0,True,Aston Martin,4423.592,2026-03-15T07:21:19.373000000,False,None,False,False,4440.382,15.5,55.5,1024.6,False,22.8,77,0.8,Chinese Grand Prix
140.998,12,HARD,1,36.95,40.579,63.469,7000000.0,0.0,0.0,12,11.0,4,False,4699.983,ALO,14,None,None,4596.021,4636.6,4700.069,238.0,180.0,124.0,124.0,True,Aston Martin,4558.985,2026-03-15T07:23:34.766000000,False,None,False,False,4560.395,15.5,55.3,1024.7,False,22.7,0,0.0,Chinese Grand Prix
143.746,13,HARD,1,35.617,45.735,62.394,7000000.0,0.0,0.0,13,11.0,41,False,4843.729,ALO,14,None,None,4735.686,4781.421,4843.815,213.0,189.0,262.0,196.0,True,Aston Martin,4699.983,2026-03-15T07:25:55.764000000,False,None,False,False,4740.397,15.5,55.1,1024.6,False,22.0,131,1.7,Chinese Grand Prix
103.5,14,HARD,1,27.411,31.734,44.355,1100000.0,0.0,10001.0,14,16.0,1,False,4947.229,ALO,14,None,None,4871.226,4902.96,4947.315,267.0,252.0,269.0,325.0,True,Aston Martin,4843.729,2026-03-15T07:28:19.510000000,False,None,False,True,4860.43,15.4,56.3,1024.7,False,22.4,112,1.1,Chinese Grand Prix
101.183,15,HARD,1,26.24,30.898,44.045,7100000.0,0.0,0.0,15,17.0,1,False,5048.412,ALO,14,None,None,4973.555,5004.453,5048.498,280.0,255.0,267.0,317.0,True,Aston Martin,4947.229,2026-03-15T07:30:03.010000000,False,None,False,True,4980.417,15.4,56.2,1024.7,False,21.6,116,2.8,Chinese Grand Prix
100.26,16,HARD,1,26.131,30.815,43.314,0.0,100000.0,10011000.0,16,17.0,1,True,5148.672,ALO,14,None,None,5074.629,5105.444,5148.758,276.0,250.0,266.0,313.0,True,Aston Martin,5048.412,2026-03-15T07:31:44.193000000,False,None,False,True,5100.455,15.2,56.6,1024.7,False,21.9,114,3.2,Chinese Grand Prix
100.363,17,HARD,1,26.281,30.849,43.233,7011000.0,0.0,100011000.0,17,16.0,12,False,5249.035,ALO,14,None,None,5175.039,5205.888,5249.121,260.0,248.0,265.0,315.0,True,Aston Martin,5148.672,2026-03-15T07:33:24.453000000,False,None,False,True,5160.435,15.2,56.7,1024.7,False,21.9,126,1.0,Chinese Grand Prix
101.241,18,HARD,1,27.183,30.854,43.204,7000000.0,100000.0,10000000000.0,18,17.0,21,False,5350.276,ALO,14,None,None,5276.304,5307.158,5350.362,257.0,253.0,266.0,313.0,True,Aston Martin,5249.035,2026-03-15T07:35:04.816000000,False,None,False,True,5280.444,15.3,56.2,1024.6,False,21.6,101,1.6,Chinese Grand Prix
100.356,19,HARD,1,26.15,30.915,43.291,7011000.0,0.0,1000000010.0,19,17.0,1,False,5450.632,ALO,14,None,None,5376.512,5407.427,5450.718,258.0,247.0,265.0,310.0,True,Aston Martin,5350.276,2026-03-15T07:36:46.057000000,False,None,False,True,5340.458,15.3,56.4,1024.6,False,21.6,98,2.0,Chinese Grand Prix
100.254,20,HARD,1,26.25,30.766,43.238,7010100.0,100000.0,1000000110.0,20,17.0,1,True,5550.886,ALO,14,None,None,5476.968,5507.734,5550.972,256.0,252.0,266.0,307.0,True,Aston Martin,5450.632,2026-03-15T07:38:26.413000000,False,None,False,True,5460.458,15.3,56.8,1024.5,False,21.5,108,1.7,Chinese Grand Prix
99.812,21,HARD,1,26.203,30.635,42.974,7000000.0,100100.0,11100100110.0,21,17.0,1,True,5650.698,ALO,14,None,None,5577.175,5607.81,5650.784,256.0,251.0,266.0,306.0,True,Aston Martin,5550.886,2026-03-15T07:40:06.667000000,False,None,False,True,5580.486,15.3,56.9,1024.5,False,21.8,92,2.8,Chinese Grand Prix
99.938,22,HARD,1,26.218,30.615,43.105,7010000.0,100000.0,1100111000.0,22,17.0,1,False,5750.636,ALO,14,None,None,5677.002,5707.617,5750.722,257.0,248.0,264.0,305.0,True,Aston Martin,5650.698,2026-03-15T07:41:46.479000000,False,None,False,True,5640.491,15.3,57.0,1024.3,False,21.7,110,2.4,Chinese Grand Prix
99.801,23,HARD,1,26.192,30.561,43.048,7003000.0,100.0,100100000.0,23,17.0,1,True,5850.437,ALO,14,None,None,5776.914,5807.475,5850.523,257.0,252.0,266.0,305.0,True,Aston Martin,5750.636,2026-03-15T07:43:26.417000000,False,None,False,True,5760.489,15.3,56.2,1024.3,False,21.6,89,1.5,Chinese Grand Prix
99.767,24,HARD,1,26.222,30.534,43.011,7010100.0,100100.0,0.0,24,17.0,1,True,5950.204,ALO,14,None,None,5876.745,5907.279,5950.29,256.0,249.0,268.0,304.0,True,Aston Martin,5850.437,2026-03-15T07:45:06.218000000,False,None,False,True,5880.499,15.4,56.2,1024.3,False,21.8,94,2.8,Chinese Grand Prix
99.721,25,HARD,1,26.187,30.538,42.996,7010000.0,100.0,10000000010.0,25,17.0,1,True,6049.925,ALO,14,None,None,5976.477,6007.015,6050.011,257.0,253.0,266.0,306.0,True,Aston Martin,5950.204,2026-03-15T07:46:45.985000000,False,None,False,True,5940.541,15.3,56.3,1024.3,False,21.7,93,2.2,Chinese Grand Prix
99.755,26,HARD,1,26.207,30.556,42.992,7000000.0,0.0,10100000001.0,26,17.0,1,False,6149.68,ALO,14,None,None,6076.218,6106.774,6149.766,256.0,251.0,270.0,305.0,True,Aston Martin,6049.925,2026-03-15T07:48:25.706000000,False,None,False,True,6060.553,15.3,56.5,1024.4,False,21.8,63,2.3,Chinese Grand Prix
100.242,27,HARD,1,26.259,30.598,43.385,7000000.0,0.0,0.0,27,17.0,12,False,6249.922,ALO,14,None,None,6176.025,6206.623,6250.008,257.0,250.0,267.0,301.0,True,Aston Martin,6149.68,2026-03-15T07:50:05.461000000,False,None,False,True,6180.548,15.4,56.0,1024.4,False,21.8,70,2.2,Chinese Grand Prix
99.745,28,HARD,1,26.146,30.566,43.033,7000000.0,100000.0,0.0,28,17.0,1,False,6349.667,ALO,14,None,None,6276.154,6306.72,6349.753,257.0,253.0,267.0,308.0,True,Aston Martin,6249.922,2026-03-15T07:51:45.703000000,False,None,False,True,6240.572,15.4,56.0,1024.4,False,21.7,67,2.0,Chinese Grand Prix
99.945,29,HARD,1,26.276,30.659,43.01,7000000.0,0.0,0.0,29,17.0,1,False,6449.612,ALO,14,None,None,6376.029,6406.688,6449.698,256.0,251.0,268.0,311.0,True,Aston Martin,6349.667,2026-03-15T07:53:25.448000000,False,None,False,True,6360.641,15.4,55.6,1024.4,False,21.6,77,3.0,Chinese Grand Prix
100.349,30,HARD,1,26.136,30.955,43.258,7000000.0,1000.0,0.0,30,17.0,1,False,6549.961,ALO,14,None,None,6475.834,6506.789,6550.047,260.0,252.0,269.0,312.0,True,Aston Martin,6449.612,2026-03-15T07:55:05.393000000,False,None,False,True,6480.569,15.4,55.8,1024.4,False,21.2,77,2.6,Chinese Grand Prix
