time,lap,compound,stint,s1,s2,s3,ms1,ms2,ms3,life,pos,status,pb,sesT,drv,dNum,pout,pin,s1T,s2T,s3T,vi1,vi2,vfl,vst,fresh,team,lST,lSD,del,delR,ff1G,iacc,wT,wAT,wH,wP,wR,wTT,wWD,wWS,race
99.376,1,MEDIUM,1,,19.018,39.109,77777777.0,0.0,77.0,1,12.0,1,False,3839.355,ALB,23,None,None,None,3800.705,3839.566,225.0,290.0,291.0,209.0,True,Williams,3739.743,2026-03-08T04:03:26.366000000,False,None,False,False,3793.796,24.2,54.0,1012.8,False,36.6,104,4.4,Australian Grand Prix
87.78,2,MEDIUM,1,31.155,18.16,38.465,100111.0,10001.0,1011010011.0,2,13.0,1,True,3927.135,ALB,23,None,None,3870.594,3888.754,3927.219,259.0,285.0,281.0,265.0,True,Williams,3839.355,2026-03-08T04:05:05.978000000,False,None,False,True,3853.794,24.2,54.4,1012.8,False,36.0,135,2.3,Australian Grand Prix
87.512,3,MEDIUM,1,31.369,18.234,37.909,111100110.0,1.0,11011.0,3,13.0,1,True,4014.647,ALB,23,None,None,3958.588,3976.822,4014.731,267.0,310.0,301.0,251.0,True,Williams,3927.135,2026-03-08T04:06:33.758000000,False,None,False,True,3973.816,24.1,54.1,1012.9,False,36.1,112,1.6,Australian Grand Prix
87.911,4,MEDIUM,1,30.836,18.153,38.922,1311011.0,1.0,100001000.0,4,14.0,1,False,4102.558,ALB,23,None,None,4045.567,4063.72,4102.642,255.0,293.0,301.0,276.0,True,Williams,4014.647,2026-03-08T04:08:01.270000000,False,None,False,True,4033.811,24.1,54.1,1012.9,False,36.1,112,1.6,Australian Grand Prix
87.176,5,MEDIUM,1,30.385,18.275,38.516,710011010.0,11000.0,1010010000.0,5,13.0,1,True,4189.734,ALB,23,None,None,4133.027,4151.302,4189.818,260.0,318.0,292.0,278.0,True,Williams,4102.558,2026-03-08T04:09:29.181000000,False,None,False,True,4153.828,24.2,54.2,1012.8,False,35.1,127,2.2,Australian Grand Prix
86.436,6,MEDIUM,1,30.347,18.545,37.544,701031100.0,11000.0,1011101000.0,6,13.0,1,True,4276.17,ALB,23,None,None,4220.165,4238.71,4276.254,264.0,297.0,294.0,282.0,True,Williams,4189.734,2026-03-08T04:10:56.357000000,False,None,False,True,4213.83,24.2,54.3,1012.6,False,35.3,114,2.7,Australian Grand Prix
85.688,7,MEDIUM,1,30.041,18.442,37.205,711000110.0,11000.0,1110000.0,7,13.0,1,True,4361.858,ALB,23,None,None,4306.295,4324.737,4361.942,264.0,300.0,291.0,281.0,True,Williams,4276.17,2026-03-08T04:12:22.793000000,False,None,False,True,4273.82,24.2,54.7,1012.6,False,35.1,99,3.4,Australian Grand Prix
85.558,8,MEDIUM,1,29.979,18.318,37.261,710000011.0,10000.0,10000.0,8,13.0,1,True,4447.416,ALB,23,None,None,4391.921,4410.239,4447.5,260.0,301.0,287.0,285.0,True,Williams,4361.858,2026-03-08T04:13:48.481000000,False,None,False,True,4393.821,24.5,54.3,1012.6,False,36.6,104,2.4,Australian Grand Prix
85.728,9,MEDIUM,1,30.086,18.257,37.385,700000000.0,0.0,10000000.0,9,13.0,1,False,4533.144,ALB,23,None,None,4477.586,4495.843,4533.228,265.0,301.0,291.0,287.0,True,Williams,4447.416,2026-03-08T04:15:14.039000000,False,None,False,True,4453.832,24.4,53.7,1012.6,False,38.1,121,3.1,Australian Grand Prix
86.03,10,MEDIUM,1,30.181,18.432,37.417,700030011.0,1000.0,0.0,10,13.0,1,False,4619.174,ALB,23,None,None,4563.409,4581.841,4619.258,262.0,299.0,288.0,285.0,True,Williams,4533.144,2026-03-08T04:16:39.767000000,False,None,False,True,4573.833,24.5,53.3,1012.6,False,36.7,119,1.6,Australian Grand Prix
93.98,11,MEDIUM,1,30.057,18.391,45.532,700000000.0,0.0,555.0,11,10.0,16,False,4713.154,ALB,23,None,None,4649.315,4667.706,4713.238,266.0,299.0,227.0,284.0,True,Williams,4619.174,2026-03-08T04:18:05.797000000,False,None,False,False,4633.861,24.4,53.1,1012.4,False,36.6,128,2.7,Australian Grand Prix
125.578,12,MEDIUM,1,40.48,27.083,58.015,500000000.0,0.0,0.0,12,12.0,6,False,4838.732,ALB,23,None,4822.785,4753.718,4780.801,4838.816,214.0,169.0,None,218.0,True,Williams,4713.154,2026-03-08T04:19:39.777000000,False,None,False,False,4753.868,24.5,53.5,1012.4,False,36.5,128,2.0,Australian Grand Prix
112.348,13,HARD,2,44.516,26.746,41.086,1100.0,0.0,101100000.0,1,12.0,671,False,4951.08,ALB,23,4841.19,None,4883.332,4910.078,4951.164,174.0,135.0,288.0,223.0,True,Williams,4838.732,2026-03-08T04:21:45.355000000,False,None,False,False,4873.87,24.6,52.3,1012.4,False,36.8,113,2.0,Australian Grand Prix
85.379,14,HARD,2,30.09,18.34,36.949,701101000.0,0.0,110000000.0,2,12.0,1,True,5036.459,ALB,23,None,None,4981.254,4999.594,5036.543,264.0,300.0,290.0,273.0,True,Williams,4951.08,2026-03-08T04:23:37.703000000,False,None,False,True,4993.903,24.3,53.3,1012.4,False,36.6,114,2.5,Australian Grand Prix
85.035,15,HARD,2,29.782,18.291,36.962,700030000.0,0.0,100000000.0,3,12.0,1,True,5121.494,ALB,23,None,None,5066.325,5084.616,5121.578,254.0,300.0,296.0,284.0,True,Williams,5036.459,2026-03-08T04:25:03.082000000,False,None,False,True,5053.917,24.3,53.7,1012.3,False,37.3,125,2.0,Australian Grand Prix
88.434,16,HARD,2,32.674,18.369,37.391,700000000.0,0.0,0.0,4,13.0,1,False,5209.928,ALB,23,None,None,5154.252,5172.621,5210.012,256.0,300.0,290.0,288.0,True,Williams,5121.494,2026-03-08T04:26:28.117000000,True,TRACK LIMITS AT TURN 3 LAP 16 ,False,True,5113.908,24.3,53.9,1012.3,False,38.4,140,3.5,Australian Grand Prix
