time,lap,compound,stint,s1,s2,s3,ms1,ms2,ms3,life,pos,status,pb,sesT,drv,dNum,pout,pin,s1T,s2T,s3T,vi1,vi2,vfl,vst,fresh,team,lST,lSD,del,delR,ff1G,iacc,wT,wAT,wH,wP,wR,wTT,wWD,wWS,race
105.225,1,MEDIUM,1,,44.394,18.51,11111111.0,11111111111.0,1111111.0,1,17.0,1,False,3930.189,ALB,23,None,None,None,3911.857,3930.398,233.0,333.0,266.0,287.0,True,Williams,3824.711,2026-03-29T05:14:02.079000000,False,None,False,False,3826.937,18.8,55.5,1011.7,False,36.7,124,2.1,Japanese Grand Prix
97.418,2,MEDIUM,1,36.274,42.995,18.149,111111111.0,11110011110.0,1111111.0,2,17.0,1,True,4027.607,ALB,23,None,None,3966.496,4009.491,4027.64,259.0,326.0,276.0,291.0,True,Williams,3930.189,2026-03-29T05:15:47.557000000,False,None,False,True,3946.939,18.9,54.3,1011.7,False,36.7,143,1.5,Japanese Grand Prix
97.464,3,MEDIUM,1,35.871,43.24,18.353,711111000.0,10011.0,1100000.0,3,17.0,1,False,4125.071,ALB,23,None,None,4063.511,4106.751,4125.104,259.0,335.0,262.0,304.0,True,Williams,4027.607,2026-03-29T05:17:24.975000000,False,None,False,True,4066.945,18.9,54.5,1011.7,False,36.0,112,2.1,Japanese Grand Prix
98.076,4,MEDIUM,1,36.825,43.011,18.24,1001.0,11100001100.0,111.0,4,18.0,1,False,4223.147,ALB,23,None,None,4161.929,4204.94,4223.18,260.0,325.0,280.0,292.0,True,Williams,4125.071,2026-03-29T05:19:02.439000000,False,None,False,True,4126.951,19.0,54.0,1011.8,False,36.5,104,0.4,Japanese Grand Prix
96.796,5,MEDIUM,1,35.721,42.832,18.243,110000011.0,11101000000.0,100000.0,5,18.0,1,True,4319.943,ALB,23,None,None,4258.901,4301.733,4319.976,263.0,327.0,278.0,296.0,True,Williams,4223.147,2026-03-29T05:20:40.515000000,False,None,False,True,4246.946,19.1,53.2,1011.8,False,36.4,128,2.3,Japanese Grand Prix
97.307,6,MEDIUM,1,35.804,43.07,18.433,1000001.0,10000000000.0,11.0,6,18.0,1,False,4417.25,ALB,23,None,None,4355.78,4398.85,4417.283,265.0,328.0,280.0,295.0,True,Williams,4319.943,2026-03-29T05:22:17.311000000,False,None,False,True,4306.945,19.2,52.0,1011.8,False,36.0,95,1.4,Japanese Grand Prix
97.545,7,MEDIUM,1,36.081,43.171,18.293,700000000.0,0.0,0.0,7,18.0,1,False,4514.795,ALB,23,None,None,4453.364,4496.535,4514.828,263.0,330.0,278.0,296.0,True,Williams,4417.25,2026-03-29T05:23:54.618000000,False,None,False,True,4426.948,19.1,51.3,1011.8,False,35.7,130,1.3,Japanese Grand Prix
97.437,8,MEDIUM,1,35.891,43.078,18.468,700000001.0,10101010000.0,0.0,8,18.0,1,False,4612.232,ALB,23,None,None,4550.719,4593.797,4612.265,270.0,328.0,278.0,292.0,True,Williams,4514.795,2026-03-29T05:25:32.163000000,False,None,False,True,4546.949,19.0,51.7,1011.8,False,35.3,144,2.7,Japanese Grand Prix
97.212,9,MEDIUM,1,35.852,43.091,18.269,700000000.0,11000001000.0,100000.0,9,18.0,1,False,4709.444,ALB,23,None,None,4648.117,4691.208,4709.477,262.0,320.0,278.0,287.0,True,Williams,4612.232,2026-03-29T05:27:09.600000000,False,None,False,True,4606.955,19.1,51.2,1011.7,False,34.6,120,2.3,Japanese Grand Prix
97.235,10,MEDIUM,1,35.788,43.127,18.32,700000000.0,1000.0,10.0,10,18.0,1,False,4806.679,ALB,23,None,None,4745.265,4788.392,4806.712,259.0,318.0,278.0,287.0,True,Williams,4709.444,2026-03-29T05:28:46.812000000,False,None,False,True,4726.95,19.0,51.2,1011.8,False,34.6,126,2.0,Japanese Grand Prix
